batter,high_rrr_balls,high_rrr_runs,high_rrr_pressure_exposure,high_rrr_weighted_runs,high_rrr_boundaries,high_rrr_dismissals,high_rrr_sr_raw,high_rrr_pressure_sr_raw,high_rrr_boundary_rate_raw,high_rrr_dismissal_rate_raw,high_rrr_pressure_sr_raw_norm,high_rrr_pressure_exposure_norm,high_rrr_boundary_rate_raw_norm,high_rrr_balls_norm,high_rrr_dismissal_temp,high_rrr_dismissal_rate_norm,high_rrr_specialist_score
LS Livingstone,99,170,302.8,531.8,24,4,171.7171717171717,175.62747688243064,0.24242424242424243,0.04040404040404041,0.7972871767137557,0.07509758001561281,0.887398170313051,0.050877192982456146,0.14648492961745976,0.8535150703825403,0.6018532470877347
Lalit Yadav,93,108,321.0,320.8,14,8,116.12903225806453,99.93769470404985,0.15053763440860216,0.08602150537634409,0.2643936800268635,0.08456934686442882,0.48350222889463956,0.04035087719298246,0.4161592606987089,0.5838407393012911,0.2817909488119864
MA Agarwal,158,186,366.8,405.6,21,10,117.72151898734178,110.57797164667393,0.13291139240506328,0.06329113924050633,0.33930649153831505,0.1084048920114494,0.4060244792918214,0.15438596491228074,0.2817853693254029,0.7182146306745971,0.325868530434668
MK Pandey,320,400,784.9,973.8,45,13,125.0,124.06676009682762,0.140625,0.040625,0.4342742327101914,0.3259953161592506,0.43993034292712807,0.43859649122807015,0.14779116465863457,0.8522088353413655,0.45597535755829594
MK Tiwary,142,185,437.90000000000003,594.7,25,6,130.2816901408451,135.80726193194795,0.176056338028169,0.04225352112676056,0.5169331715486118,0.14540723393182411,0.5956720112469058,0.12631578947368421,0.15741840601843998,0.84258159398156,0.4518788560007152
MM Ali,81,103,195.1,224.5,14,5,127.16049382716051,115.0691952844695,0.1728395061728395,0.06172839506172839,0.3709269269506832,0.01904761904761905,0.5815321342980049,0.01929824561403508,0.27254697803559924,0.7274530219644008,0.34316184820724166
MP Stoinis,338,465,1020.2,1318.9,59,16,137.57396449704143,129.27857282885708,0.17455621301775148,0.047337278106508875,0.47096797169206583,0.44845173041894354,0.5890780753468586,0.4701754385964912,0.18747178061357858,0.8125282193864214,0.524163515628278
MR Marsh,80,79,216.0,209.0,6,5,98.75,96.75925925925925,0.075,0.0625,0.24201592269396144,0.029924538121259434,0.15146968769136557,0.017543859649122792,0.27710843373493976,0.7228915662650602,0.20712875683152787
MS Dhoni,640,853,2080.0,2858.1,95,22,133.28125,137.40865384615384,0.1484375,0.034375,0.5282077625457972,1.0,0.47427089712186166,0.9999999999999999,0.11084337349397594,0.889156626506024,0.6950529470932936
Mandeep Singh,129,173,373.8,542.6,22,7,134.10852713178295,145.1578384162654,0.17054263565891473,0.05426356589147287,0.5827658540502323,0.11204787926099402,0.5714360310837048,0.10350877192982456,0.22841754615360668,0.7715824538463933,0.45731224626665445
Mohammed Siraj,82,82,432.6,428.5,12,5,100.0,99.05224225612574,0.14634146341463414,0.06097560975609756,0.2581596569190652,0.1426489721571689,0.4650575777037623,0.021052631578947364,0.2680967773533157,0.7319032226466843,0.30010075816237547
N Pooran,273,414,756.5,1102.3,58,13,151.64835164835165,145.7105089226702,0.21245421245421245,0.047619047619047616,0.5866569277222329,0.3112151964610981,0.7556621781973895,0.356140350877193,0.18913750239051444,0.8108624976094856,0.5647385308692586
N Rana,355,503,840.0,1152.1,75,16,141.69014084507043,137.1547619047619,0.2112676056338028,0.04507042253521127,0.5264202377236209,0.35467083008066613,0.7504463400119025,0.5,0.1740709316137791,0.8259290683862209,0.5641844359465843
NV Ojha,121,163,342.1,451.1,20,6,134.71074380165288,131.86202864659455,0.1652892561983471,0.049586776859504134,0.4891567782208742,0.09555035128805622,0.5483443239386011,0.0894736842105263,0.2007700222377112,0.7992299777622888,0.4133120125309627
OA Shah,77,101,180.7,210.89999999999998,12,3,131.1688311688312,116.71278361925843,0.15584415584415584,0.03896103896103896,0.3824986016157693,0.011553473848555817,0.5068275264233624,0.012280701754385961,0.1379544150628488,0.8620455849371512,0.34410826936984507
P Kumar,101,97,464.8,453.50000000000006,13,10,96.03960396039604,97.56884681583477,0.12871287128712872,0.09900990099009901,0.2477158194499196,0.15940671350507415,0.3875694979173362,0.05438596491228069,0.4929420652908665,0.5070579347091335,0.26462596002659133
P Simran Singh,88,125,241.4,304.3,21,6,142.04545454545453,126.05633802816902,0.23863636363636365,0.06818181818181818,0.4482818452339651,0.043143377569607094,0.870748204642877,0.031578947368421054,0.3106973347937203,0.6893026652062797,0.434179215793553
PA Patel,123,157,267.6,316.2,26,8,127.64227642276423,118.16143497757845,0.21138211382113822,0.06504065040650407,0.3926978235661778,0.05677855841790269,0.7509496711623578,0.09298245614035087,0.29212786103764654,0.7078721389623535,0.39871023485279367
PJ Cummins,89,138,360.1,521.8000000000001,21,9,155.0561797752809,144.90419327964455,0.23595505617977527,0.10112359550561797,0.5809800668556944,0.10491803278688525,0.8589622738875854,0.03333333333333334,0.5054374802581111,0.4945625197418889,0.4779576733846942
PP Chawla,130,136,541.1,558.7,16,19,104.61538461538463,103.25263352430237,0.12307692307692308,0.14615384615384616,0.28773248862673884,0.19911527452511063,0.36279617504357253,0.10526315789473685,0.7716404077849862,0.22835959221501378,0.26083756037540723
PP Shaw,97,144,212.7,301.2,26,6,148.4536082474227,141.60789844851905,0.26804123711340205,0.061855670103092786,0.5577725211591087,0.02820712984647411,1.0,0.047368421052631574,0.27329938309940793,0.7267006169005921,0.5061573382282607
Q de Kock,241,307,497.8,594.0,42,15,127.38589211618256,119.32503013258335,0.17427385892116182,0.06224066390041494,0.40089010887910337,0.17658079625292739,0.5878369622388853,0.3,0.2755753303671117,0.7244246696328883,0.41568206221329274
R Ashwin,132,164,620.8000000000001,779.4000000000001,20,12,124.24242424242425,125.54768041237114,0.15151515151515152,0.09090909090909091,0.44470064407711496,0.2405932864949259,0.48779899422887796,0.1087719298245614,0.4450529390288427,0.5549470609711573,0.3899306128551786
R Dravid,131,200,393.40000000000003,613.2,28,7,152.67175572519085,155.87188612099646,0.21374045801526717,0.05343511450381679,0.6581980482080731,0.122248243559719,0.7613159875282228,0.10701754385964911,0.22352003433581655,0.7764799656641834,0.5283418164532009
R Parag,103,128,270.90000000000003,302.2,17,7,124.27184466019416,111.55407899593943,0.1650485436893204,0.06796116504854369,0.3461787699822665,0.05849596669268803,0.5472862502155186,0.05789473684210526,0.30939291145163184,0.6906070885483682,0.3344781339135953
R Powell,70,90,290.2,384.8,11,9,128.57142857142858,132.59820813232255,0.15714285714285714,0.12857142857142856,0.4943398458562678,0.06854020296643246,0.5125360860817076,0.0,0.6676993689041881,0.33230063109581187,0.3471812592617164
R Tewatia,297,336,1010.8000000000001,1131.8,37,14,113.13131313131312,111.97071626434507,0.12457912457912458,0.04713804713804714,0.3491121023875243,0.4435597189695551,0.3693992383520859,0.3982456140350877,0.1862939975389775,0.8137060024610225,0.42343179406894893
R Vinay Kumar,112,106,449.90000000000003,432.1,8,9,94.64285714285714,96.04356523671926,0.07142857142857142,0.08035714285714286,0.2369770828498936,0.15165235493104348,0.1357711486309159,0.07368421052631578,0.3826735513482502,0.6173264486517498,0.2213765997701559
RA Jadeja,396,524,1310.5,1778.1000000000001,57,22,132.32323232323233,135.68103777184282,0.14393939393939395,0.05555555555555555,0.5160444910410333,0.5995316159250585,0.45449906288853026,0.5719298245614035,0.2360553324408746,0.7639446675591254,0.550811381391184
RA Tripathi,184,238,482.4,595.9,30,13,129.34782608695653,123.52819237147597,0.16304347826086957,0.07065217391304347,0.4304824495909195,0.1685662243039292,0.5384728027902767,0.2,0.32530120481927716,0.6746987951807228,0.40107066477328135
RG Sharma,369,473,878.6,1039.5,64,27,128.18428184281842,118.3132255861598,0.17344173441734417,0.07317073170731707,0.3937665045141625,0.3747593026281551,0.5841792833115105,0.5245614035087719,0.3401900284063082,0.6598099715936918,0.4677314565038445
RK Singh,128,201,483.40000000000003,776.2,28,2,157.03125,160.5709557302441,0.21875,0.015625,0.6912818220435637,0.16908665105386417,0.7833358848744643,0.10175438596491228,0.0,1.0,0.5771726745995824
RM Patidar,72,96,165.8,199.2,12,4,133.33333333333331,120.14475271411338,0.16666666666666666,0.05555555555555555,0.4066613612227191,0.0037991152745251167,0.5543988569095734,0.0035087719298245584,0.2360553324408746,0.7639446675591254,0.3510494828748023
RR Pant,338,425,811.7,974.0,55,18,125.7396449704142,119.99507207096217,0.16272189349112426,0.05325443786982249,0.4056075354747838,0.3399427530575072,0.5370592476909308,0.4701754385964912,0.22245193792923176,0.7775480620707682,0.46241576440632703
RR Rossouw,96,151,222.5,339.2,23,8,157.29166666666669,152.4494382022472,0.23958333333333334,0.08333333333333333,0.6341023223893245,0.033307311995836586,0.8749106960604206,0.04561403508771929,0.4002677376171352,0.5997322623828648,0.49981916031403967
RV Uthappa,254,309,640.6,793.5,39,16,121.65354330708662,123.8682485170153,0.15354330708661418,0.06299212598425197,0.43287661302026126,0.2508977361436378,0.49671393647747497,0.32280701754385965,0.2800177086297948,0.7199822913702052,0.4269519106237336
Rashid Khan,115,172,533.0,776.3000000000001,25,8,149.56521739130434,145.64727954971858,0.21739130434782608,0.06956521739130435,0.5862117616684308,0.19489981785063754,0.7773636145797279,0.07894736842105264,0.31887550200803216,0.6811244979919678,0.5049445777947474
S Dhawan,92,82,206.9,170.3,7,12,89.13043478260869,82.31029482841953,0.07608695652173914,0.13043478260869565,0.14028806779132197,0.02518865469685143,0.1562475039271546,0.03859649122807017,0.678714859437751,0.321285140562249,0.12839062202036192
S Dube,183,227,523.2,618.4,27,13,124.04371584699454,118.19571865443423,0.14754098360655737,0.07103825136612021,0.39293919760522444,0.18979963570127506,0.47033017778803976,0.19824561403508772,0.3275835582768232,0.6724164417231768,0.3762678473157792
SA Yadav,214,328,538.0,762.2,50,14,153.27102803738316,141.67286245353162,0.2336448598130841,0.06542056074766354,0.5582298998804313,0.19750195160031225,0.8488075956756386,0.25263157894736843,0.2943737567090793,0.7056262432909207,0.5283796516311916
SC Ganguly,78,90,158.5,176.5,7,4,115.38461538461537,111.35646687697161,0.08974358974358974,0.05128205128205128,0.3447874829414834,0.0,0.2162764771460424,0.014035087719298248,0.2107918854906807,0.7892081145093193,0.2614946088286636
SE Marsh,201,304,435.2,619.6,43,11,151.24378109452735,142.37132352941177,0.21393034825870647,0.05472636815920398,0.563147411257968,0.14400208170699974,0.7621506673612952,0.22982456140350876,0.23115346959979224,0.7688465304002078,0.5063566234972179
SK Raina,160,247,436.5,671.9,37,7,154.375,153.92898052691865,0.23125,0.04375,0.6445190320190641,0.14467863648191517,0.838280771586038,0.15789473684210525,0.16626506024096385,0.8337349397590361,0.5535624620813304
SL Malinga,74,70,376.90000000000003,356.1,9,7,94.5945945945946,94.48129477314937,0.12162162162162163,0.0945945945945946,0.2259779262115461,0.11366120218579237,0.3563992651561544,0.007017543859649131,0.4668403343102139,0.5331596656897861,0.23842098490795136
SM Curran,89,124,278.2,386.6,15,11,139.32584269662922,138.96477354421282,0.16853932584269662,0.12359550561797752,0.539163614753268,0.06229508196721312,0.5626303006116818,0.03333333333333334,0.6382834709625017,0.3617165290374983,0.3801555086541694
SO Hetmyer,120,149,325.5,372.5,16,8,124.16666666666667,114.43932411674346,0.13333333333333333,0.06666666666666667,0.3664923224456691,0.08691126723913609,0.4078791590120433,0.08771929824561404,0.30174029451137885,0.6982597054886212,0.3241529146019271
SP Narine,92,117,328.5,410.20000000000005,18,17,127.17391304347827,124.87062404870626,0.1956521739130435,0.18478260869565216,0.43993383245864337,0.08847254748894093,0.6818072898639475,0.03859649122807017,1.0,0.0,0.33388914957684207
SPD Smith,220,322,553.6,799.3,44,10,146.36363636363637,144.382225433526,0.2,0.045454545454545456,0.5773051550952049,0.20562060889929745,0.7009185548071036,0.26315789473684215,0.17634173055859806,0.823658269441402,0.5209115111971866
SR Watson,119,171,275.6,353.3,24,10,143.69747899159663,128.1930333817126,0.20168067226890757,0.08403361344537816,0.46332523716262763,0.06094197241738228,0.7083061026002564,0.08596491228070176,0.4044075461509906,0.5955924538490094,0.4073354464815499
SS Iyer,191,263,451.3,598.3,34,9,137.69633507853402,132.57256813649457,0.17801047120418848,0.04712041884816754,0.49415932760613446,0.1523809523809524,0.6042615813249632,0.21228070175438596,0.18618978531928768,0.8138102146807124,0.4516013294271468
SS Tiwary,231,256,727.4,839.7,23,10,110.82251082251082,115.43854825405555,0.09956709956709957,0.04329004329004329,0.3735273545091947,0.29607077803799114,0.25945660789506475,0.2824561403508772,0.16354595872668162,0.8364540412733183,0.3724074371527087
STR Binny,108,137,379.8,477.90000000000003,16,12,126.85185185185186,125.82938388625593,0.14814814814814814,0.1111111111111111,0.4466839758414146,0.1151704397606037,0.4729990247442789,0.06666666666666667,0.5644801427933958,0.43551985720660424,0.3465261356248695
SV Samson,320,491,742.7,1073.8,68,15,153.4375,144.58058435438264,0.2125,0.046875,0.5787016999905938,0.30403330731199585,0.7558634415186773,0.43859649122807015,0.18473895582329317,0.8152610441767069,0.56884578330285
Shahbaz Ahmed,104,109,343.40000000000003,354.5,10,6,104.8076923076923,103.23238206173558,0.09615384615384616,0.057692307692307696,0.2875899083155047,0.09622690606297166,0.24445334212633665,0.05964912280701755,0.24868705591597165,0.7513129440840284,0.26426821965316816
Shashank Singh,127,171,387.7,500.2,23,4,134.64566929133858,129.01728140314677,0.18110236220472442,0.031496062992125984,0.4691283508410914,0.11928181108508976,0.6178522693848818,0.09999999999999999,0.09382411535907409,0.9061758846409259,0.43569574489452345
Shubman Gill,169,204,435.9,480.7,19,8,120.71005917159763,110.27758660243174,0.11242603550295859,0.047337278106508875,0.33719163228027915,0.14436638043195418,0.3159792301532375,0.17368421052631577,0.18747178061357858,0.8125282193864214,0.32556701802042376
T Stubbs,86,165,235.3,481.0,21,2,191.86046511627907,204.41988950276243,0.2441860465116279,0.023255813953488372,0.9999999999999998,0.0399687743950039,0.8951423403922015,0.02807017543859648,0.04511067525917625,0.9548893247408238,0.6853181729753831
TH David,103,157,358.6,548.7,19,5,152.4271844660194,153.0117122141662,0.18446601941747573,0.04854368932038835,0.638061009489276,0.10413739266198282,0.6326375305441769,0.05789473684210526,0.194603657347838,0.805396342652162,0.48890849638636913
TK Curran,70,87,217.3,301.90000000000003,9,2,124.28571428571429,138.93235158766683,0.12857142857142856,0.02857142857142857,0.5389353481458612,0.030601092896174867,0.3869477735981104,0.0,0.07653471026965003,0.9234652897303499,0.39143044153023654
Tilak Varma,193,297,465.0,706.3,39,8,153.8860103626943,151.89247311827955,0.20207253886010362,0.04145077720207254,0.6301810127675247,0.15951079885506114,0.7100285878370017,0.21578947368421053,0.15267286763634852,0.8473271323636515,0.5322919430502087
UT Yadav,93,78,474.6,388.20000000000005,7,11,83.87096774193549,81.795195954488,0.07526881720430108,0.11827956989247312,0.13666151699187656,0.16450689565443666,0.15265129815828118,0.04035087719298246,0.6068575376775922,0.3931424623224078,0.16144557951083321
V Kohli,577,722,1550.9,1885.8,85,32,125.12998266897748,121.59391321168354,0.14731369150779897,0.05545927209705372,0.4168641677652283,0.7246422066094198,0.4693310946987024,0.8894736842105263,0.23548613866210075,0.7645138613378992,0.5709390819225584
V Shankar,118,168,353.1,538.1,21,10,142.3728813559322,152.39308977626735,0.17796610169491525,0.0847457627118644,0.6337056016049729,0.10127504553734062,0.604066551112126,0.08421052631578947,0.4086175209311823,0.5913824790688177,0.4621098605103432
VR Iyer,78,106,186.6,222.9,17,4,135.8974358974359,119.4533762057878,0.21794871794871795,0.05128205128205128,0.4017937287042307,0.014623991673171993,0.7798137767519274,0.014035087719298248,0.2107918854906807,0.7892081145093193,0.39992936538957397
WP Saha,178,192,546.9,548.3000000000001,19,11,107.86516853932584,100.25598829767783,0.10674157303370786,0.06179775280898876,0.26663462432872065,0.20213374967473324,0.29099265844210354,0.18947368421052635,0.2729569965254276,0.7270430034745724,0.2969308001233655
Washington Sundar,111,149,411.3,581.0,19,9,134.23423423423424,141.2594213469487,0.17117117117117117,0.08108108108108109,0.5553190700349729,0.13156388238355451,0.5741988160849153,0.0719298245614035,0.3869532182785196,0.6130467817214804,0.43177782833597156
Y Venugopal Rao,200,288,500.8,684.4,39,9,144.0,136.66134185303514,0.195,0.045,0.5229463165531197,0.17814207650273223,0.678940600122474,0.22807017543859648,0.1736546184738956,0.8263453815261044,0.4860366176427593
YK Pathan,181,287,454.7,661.5,36,8,158.56353591160223,145.48053661755003,0.19889502762430938,0.04419889502762431,0.5850378089681612,0.15415040333073118,0.6960615482469644,0.19473684210526315,0.16891876899864652,0.8310812310013534,0.5066393212134653
Yuvraj Singh,214,249,596.6,605.1,31,16,116.35514018691589,101.42474019443513,0.14485981308411214,0.07476635514018691,0.27486321565369787,0.22799895914650015,0.45854484893922653,0.25263157894736843,0.3496227902263259,0.6503772097736741,0.33755492675072873
Z Khan,70,46,343.8,229.10000000000002,3,7,65.71428571428571,66.63757998836533,0.04285714285714286,0.1,0.02994440483811328,0.09643507676294563,0.010182836147318686,0.0,0.49879518072289164,0.5012048192771084,0.08342182644500902
