bowler,set_batter_balls,set_batter_runs,set_batter_pressure_exposure,set_batter_weighted_runs,set_batter_wickets,set_batter_weighted_wickets,set_batter_dot_balls,set_batter_economy_raw,set_batter_dot_rate_raw,set_batter_wicket_rate_raw,set_batter_pressure_exposure_norm,set_batter_dot_rate_raw_norm,set_batter_wicket_rate_raw_norm,set_batter_balls_norm,set_batter_eco_temp,set_batter_economy_norm,set_batter_control_score
A Ashish Reddy,92,141,238.70000000000002,409.3,8,19.4,34,9.195652173913043,0.3695652173913043,0.08695652173913043,0.0669843988531854,0.6905629555164613,0.5043478260869565,0.06267281105990782,0.49480886272325847,0.5051911372767415,0.4632929231346755
A Chandila,41,42,116.7,129.6,0,0.0,16,6.146341463414634,0.3902439024390244,0.0,0.02155862531183677,0.7338925701395742,0.0,0.015668202764976956,0.16932586526231225,0.8306741347376878,0.47793177250076563
A Kumble,204,245,536.2,695.1,7,17.3,70,7.205882352941176,0.3431372549019608,0.03431372549019608,0.17775626466098227,0.6351864445200045,0.19901960784313727,0.16589861751152074,0.2824211111709091,0.7175788888290908,0.48411863200606065
A Mishra,943,1282,2393.8,3549.9,48,110.9,288,8.15694591728526,0.3054082714740191,0.05090137857900318,0.8694195181889267,0.5561300486088551,0.29522799575821845,0.8470046082949308,0.3839375026074537,0.6160624973925464,0.5853423980396345
A Mithun,50,78,163.7,263.6,2,7.0,11,9.36,0.22,0.04,0.03905871839743828,0.37716763005780346,0.23199999999999998,0.023963133640552997,0.5123513266239705,0.48764867337602946,0.31767112839986034
A Nehra,194,295,581.7,934.5,12,30.6,55,9.123711340206185,0.28350515463917525,0.061855670103092786,0.19469784413746888,0.5102347893450926,0.35876288659793815,0.1566820276497696,0.4871299082257287,0.5128700917742712,0.4139537939555795
A Nortje,190,311,598.9,966.4,11,39.6,56,9.821052631578947,0.29473684210526313,0.05789473684210526,0.20110213352198686,0.5337693945847276,0.3357894736842105,0.15299539170506912,0.5615640198391678,0.4384359801608322,0.3894625889620209
A Singh,44,63,143.8,222.5,2,5.1,11,8.590909090909092,0.25,0.045454545454545456,0.03164910451651339,0.440028901734104,0.2636363636363636,0.0184331797235023,0.43025867088081177,0.5697413291191882,0.36715219177651615
A Symonds,125,197,316.3,521.2,6,16.6,36,9.456,0.288,0.048,0.09587816956473175,0.5196531791907514,0.2784,0.09308755760368664,0.52259835315645,0.47740164684355,0.3715804439097722
A Zampa,75,121,191.8,322.4,4,9.3,15,9.68,0.2,0.05333333333333334,0.04952154000819155,0.3352601156069364,0.30933333333333335,0.04700460829493088,0.5465080817322354,0.4534919182677646,0.3140564817924306
AA Chavan,40,49,98.4,117.5,2,4.1,14,7.3500000000000005,0.35,0.05,0.01474475928063447,0.6495664739884393,0.29,0.014746543778801843,0.2978042086001829,0.7021957913998171,0.46910927579298944
AB Agarkar,251,365,711.3000000000001,1108.7,10,22.5,70,8.725099601593627,0.2788844621513944,0.0398406374501992,0.24295341996499986,0.5005527024848582,0.23107569721115537,0.20921658986175115,0.4445821471661387,0.5554178528338614,0.41096656453797215
AB Dinda,161,242,522.1,862.2,12,33.2,49,9.01863354037267,0.30434782608695654,0.07453416149068323,0.1725062367353018,0.553908017089721,0.4322981366459627,0.12626728110599078,0.47591391861251425,0.5240860813874857,0.4382441118713721
AB McDonald,54,71,145.8,193.20000000000002,3,7.3,15,7.888888888888889,0.2777777777777778,0.05555555555555555,0.03239378932866665,0.49823378291586384,0.3222222222222222,0.027649769585253454,0.35532513300125373,0.6446748669987463,0.4206434495143636
AC Thomas,32,54,120.4,194.5,2,6.300000000000001,8,10.125,0.25,0.0625,0.022936292214320295,0.440028901734104,0.3625,0.007373271889400922,0.594007319304666,0.405992680695334,0.327635620087265
AD Mascarenhas,40,62,130.5,204.9,0,0.0,13,9.3,0.325,0.0,0.026696950515694234,0.5971820809248555,0.0,0.014746543778801843,0.5059469350411709,0.49405306495882906,0.32635844239625367
AD Mathews,218,310,539.3000000000001,836.1,10,21.7,53,8.53211009174312,0.24311926605504589,0.045871559633027525,0.17891052611981983,0.4256111788725673,0.26605504587155965,0.17880184331797236,0.42398247395855176,0.5760175260414482,0.39699117495073977
AD Russell,262,446,737.9,1419.3,23,58.1,83,10.213740458015268,0.31679389312977096,0.08778625954198473,0.25285772796663813,0.5799872038123813,0.5091603053435114,0.21935483870967742,0.6034794633441121,0.39652053665588793,0.4328323065189899
AF Milne,27,53,86.4,168.1,2,6.5,5,11.777777777777779,0.18518518518518517,0.07407407407407407,0.010276650407714936,0.30421751230999783,0.4296296296296296,0.0027649769585253448,0.7704245874419708,0.22957541255802916,0.2436358611353596
AG Murtaza,78,88,169.5,215.9,2,3.0,31,6.769230769230769,0.3974358974358974,0.02564102564102564,0.04121830435268273,0.7489625018526752,0.14871794871794872,0.049769585253456226,0.23581298238205822,0.7641870176179417,0.493548460333652
AJ Tye,133,200,409.0,676.1,9,33.9,33,9.022556390977442,0.24812030075187969,0.06766917293233082,0.1303943106080352,0.43609022556390975,0.39248120300751876,0.10046082949308754,0.4763326431357439,0.523667356864256,0.39388788590508306
AL Menaria,28,38,93.10000000000001,135.1,1,2.7,11,8.142857142857142,0.39285714285714285,0.03571428571428571,0.012771344528428347,0.7393682906688687,0.20714285714285713,0.003686635944700461,0.38243366880146373,0.6175663311985362,0.4440646580625891
AM Nayar,85,111,213.9,317.20000000000005,5,8.7,29,7.835294117647059,0.3411764705882353,0.058823529411764705,0.057750307182485014,0.6310778646718803,0.3411764705882353,0.05622119815668202,0.34960443463753293,0.6503955653624671,0.46504035869639726
AN Ahmed,69,101,197.1,323.3,1,1.5,20,8.782608695652174,0.2898550724637681,0.014492753623188406,0.05149495476039766,0.5235402529948898,0.08405797101449275,0.04147465437788018,0.4507206597981886,0.5492793402018115,0.34924138743608285
AR Patel,676,893,1749.1000000000001,2436.0,29,67.7,190,7.926035502958579,0.28106508875739644,0.042899408284023666,0.6293703689913246,0.505121934535007,0.24881656804733726,0.6009216589861751,0.3592901573758775,0.6407098426241224,0.523321444959412
AS Joseph,69,136,215.1,479.0,4,10.8,14,11.82608695652174,0.2028985507246377,0.057971014492753624,0.05819711806977697,0.3413336684259027,0.336231884057971,0.04147465437788018,0.7755811024039674,0.22441889759603262,0.241093585321447
AS Rajpoot,49,94,152.4,342.6,4,13.6,13,11.510204081632653,0.2653061224489796,0.08163265306122448,0.03485124920877239,0.47210097911997173,0.473469387755102,0.023041474654377878,0.7418638086524636,0.2581361913475364,0.30885606168896607
AS Roy,33,62,89.0,187.3,2,5.1,10,11.272727272727273,0.30303030303030304,0.06060606060606061,0.01124474066351417,0.5511473112629182,0.3515151515151515,0.008294930875576038,0.7165155673847348,0.28348443261526524,0.3092633766880117
AUK Pathan,27,44,92.7,155.3,0,0.0,6,9.777777777777777,0.2222222222222222,0.0,0.012622407565997695,0.3818240205523442,0.0,0.0027649769585253448,0.5569448680153162,0.4430551319846838,0.25206403978517766
Abhishek Sharma,78,124,181.2,290.7,2,4.2,17,9.538461538461538,0.21794871794871795,0.02564102564102564,0.04557471050377927,0.3728694234474581,0.14871794871794872,0.049769585253456226,0.5314002862035798,0.4685997137964202,0.29650527500992485
Akash Madhwal,38,71,96.5,188.2,4,10.8,9,11.210526315789474,0.23684210526315788,0.10526315789473684,0.014037308709088876,0.4124581685427441,0.6105263157894736,0.012903225806451611,0.7098762459671595,0.2901237540328405,0.329457172656629
Anand Rajan,55,97,131.0,267.0,4,7.0,11,10.581818181818182,0.2,0.07272727272727272,0.02688312171873255,0.3352601156069364,0.42181818181818176,0.028571428571428574,0.6427680279464358,0.35723197205356416,0.29875531051313403
Ankit Sharma,54,56,142.5,159.8,1,2.7,19,6.222222222222221,0.35185185185185186,0.018518518518518517,0.031165059388613768,0.6534467994005566,0.1074074074074074,0.027649769585253454,0.17742536681237492,0.8225746331876251,0.47862578584467613
Ankit Soni,52,79,124.4,208.10000000000002,2,5.4,13,9.115384615384615,0.25,0.038461538461538464,0.0244256618386268,0.440028901734104,0.2230769230769231,0.02580645161290323,0.4862411147864028,0.5137588852135972,0.3394614312188226
Anureet Singh,85,145,272.7,491.7,5,21.2,21,10.235294117647058,0.24705882352941178,0.058823529411764705,0.07964404065979075,0.43386603196191775,0.3411764705882353,0.05622119815668202,0.6057800979495183,0.39421990205048174,0.32826529170744234
Arshdeep Singh,204,257,641.7,809.7,18,61.3,68,7.5588235294117645,0.3333333333333333,0.08823529411764706,0.21703838850206653,0.6146435452793834,0.511764705882353,0.16589861751152074,0.3200940028344365,0.6799059971655634,0.5322746271056223
Avesh Khan,202,339,601.8,1073.5,13,37.1,60,10.069306930693068,0.297029702970297,0.06435643564356436,0.20218192649960903,0.5385737995764894,0.37326732673267327,0.1640552995391705,0.5880626488998395,0.4119373511001605,0.39009871072959107
Azhar Mahmood,123,169,353.6,538.9,8,21.400000000000002,44,8.24390243902439,0.35772357723577236,0.06504065040650407,0.10976654131138998,0.6657502702194652,0.3772357723577236,0.0912442396313364,0.39321922953904737,0.6067807704609527,0.4743590697820171
B Akhil,44,39,118.80000000000001,105.9,3,6.9,15,5.318181818181818,0.3409090909090909,0.06818181818181818,0.02234054436459769,0.6305176037834996,0.3954545454545454,0.0184331797235023,0.08092822090992263,0.9190717790900773,0.5624728051271211
B Kumar,490,739,1566.4,2519.1,20,66.2,125,9.048979591836735,0.25510204081632654,0.04081632653061224,0.5613434114011245,0.4507195941960599,0.236734693877551,0.4294930875576037,0.47915305188864193,0.520846948111358,0.4414069190593733
B Laughlin,39,62,141.6,241.9,0,0.0,8,9.538461538461538,0.20512820512820512,0.0,0.030829951223144803,0.3460056321327997,0.0,0.01382488479262673,0.5314002862035798,0.4685997137964202,0.25497679146352414
B Lee,79,102,264.4,359.9,5,19.2,26,7.746835443037975,0.3291139240506329,0.06329113924050633,0.07655359868935473,0.6058022975049389,0.3670886075949367,0.05069124423963133,0.34016236811933237,0.6598376318806676,0.4685359513463543
BA Bhatt,65,75,189.9,222.4,5,13.8,18,6.9230769230769225,0.27692307692307694,0.07692307692307693,0.04881408943664595,0.49644286349488664,0.4461538461538462,0.03778801843317972,0.25223449926103153,0.7477655007389685,0.4837196211501124
BA Stokes,139,198,419.5,612.4,8,24.3,43,8.546762589928058,0.30935251798561153,0.05755395683453238,0.13430390587183977,0.5643947269929721,0.3338129496402878,0.10599078341013826,0.4255464795592619,0.5744535204407382,0.4329494727587567
BAW Mendis,56,66,136.4,179.5,1,2.7,19,7.071428571428571,0.3392857142857143,0.017857142857142856,0.028893770711546342,0.627116019818332,0.10357142857142856,0.029493087557603687,0.26806953339432743,0.7319304666056725,0.439507639807769
BB Sran,97,172,291.9,553.1,5,15.3,26,10.639175257731958,0.26804123711340205,0.05154639175257732,0.086793014856462,0.47783207198617483,0.29896907216494845,0.06728110599078341,0.6488903141830391,0.3511096858169609,0.3175476345501943
BCJ Cutting,70,116,196.4,364.4,3,5.9,22,9.942857142857143,0.3142857142857143,0.04285714285714286,0.051234315076144024,0.5747316267547481,0.24857142857142855,0.0423963133640553,0.5745654162854528,0.42543458371454723,0.3516623595470842
BJ Hodge,59,66,164.70000000000002,196.20000000000002,5,14.100000000000001,23,6.711864406779661,0.3898305084745763,0.0847457627118644,0.03943106080351492,0.7330263544626237,0.4915254237288135,0.03225806451612903,0.22968970490176305,0.770310295098237,0.5583391891777659
BW Hilfenhaus,43,72,132.1,225.2,2,9.7,16,10.046511627906977,0.37209302325581395,0.046511627906976744,0.02729269836541684,0.6958596585562575,0.2697674418604651,0.017511520737327188,0.5856294814783292,0.41437051852167084,0.3774285064040166
Basil Thampi,103,164,321.6,542.1,6,16.8,21,9.553398058252426,0.20388349514563106,0.05825242718446602,0.09785158431693787,0.3433974970537067,0.3378640776699029,0.0728110599078341,0.5329946082306645,0.46700539176933553,0.3339403413391519
Bipul Sharma,90,143,216.8,399.40000000000003,5,8.7,20,9.533333333333333,0.2222222222222222,0.05555555555555555,0.05883010016010724,0.3818240205523442,0.3222222222222222,0.060829493087557605,0.5308529023076141,0.46914709769238594,0.336067893099632
C Green,91,130,222.8,366.6,8,15.8,30,8.571428571428571,0.32967032967032966,0.08791208791208792,0.061064154596567013,0.6069681763323381,0.50989010989011,0.061751152073732725,0.4281793229643182,0.5718206770356817,0.46613883369062503
C Sakariya,66,101,218.6,356.4,2,6.4,15,9.181818181818182,0.22727272727272727,0.030303030303030304,0.059500316491045174,0.3924067262217551,0.17575757575757575,0.03870967741935484,0.49333222434777774,0.5066677756522222,0.32040791757627163
C de Grandhomme,30,56,67.2,130.3,1,0.8,4,11.2,0.13333333333333333,0.03333333333333333,0.003127676211043675,0.1955684007707129,0.19333333333333333,0.0055299539170506895,0.7087526684964927,0.29124733150350735,0.19036109589838188
CH Gayle,127,189,350.3,584.8,4,6.1,39,8.929133858267717,0.30708661417322836,0.031496062992125984,0.1085378113713371,0.559646807154886,0.1826771653543307,0.09493087557603686,0.46636073510024406,0.5336392648997559,0.38356774626923956
CH Morris,277,445,880.0,1440.0,13,36.8,67,9.63898916967509,0.24187725631768953,0.04693140794223827,0.30576758387012704,0.4230087018217482,0.27220216606498193,0.23317972350230415,0.5421305914566275,0.45786940854337255,0.37434163239585694
CJ Anderson,68,122,175.5,347.2,4,11.4,11,10.764705882352942,0.16176470588235295,0.058823529411764705,0.0434523587891425,0.2551428085685141,0.3411764705882353,0.04055299539170507,0.6622894354448092,0.3377105645551908,0.2586202292721771
CJ Jordan,137,242,470.3,881.2,5,11.1,32,10.598540145985401,0.23357664233576642,0.0364963503649635,0.15321890010053246,0.4056157968018227,0.21167883211678828,0.10414746543778802,0.6445529280557762,0.35544707194422376,0.29388282735812365
CR Brathwaite,82,129,276.0,445.09999999999997,5,21.4,17,9.439024390243903,0.2073170731707317,0.06097560975609756,0.08087277059984363,0.3505921330889609,0.35365853658536583,0.05345622119815668,0.520786378952536,0.479213621047464,0.33953740713572583
CR Woakes,29,25,80.60000000000001,65.6,5,12.4,15,5.172413793103448,0.5172413793103449,0.1724137931034483,0.008117064452470495,1.0,1.0,0.004608294930875577,0.06536896236236861,0.9346310376376314,0.7783933991115056
CRD Fernando,45,65,147.7,232.79999999999998,5,11.5,14,8.666666666666666,0.3111111111111111,0.1111111111111111,0.033101239900212236,0.5680796403339756,0.6444444444444444,0.01935483870967742,0.43834502388939695,0.5616549761106031,0.4727336484720829
CV Varun,404,541,1018.5,1463.8,19,38.4,134,8.034653465346535,0.3316831683168317,0.04702970297029703,0.35733700711174,0.6111858295656155,0.27277227722772274,0.35023041474654376,0.3708840234435154,0.6291159765564847,0.4982982468175464
D Pretorius,29,45,79.8,130.9,3,4.5,8,9.310344827586206,0.27586206896551724,0.10344827586206896,0.007819190527609186,0.4942196531791907,0.6,0.004608294930875577,0.5070511404864813,0.49294885951351874,0.4173297626703777
D Wiese,66,115,233.1,409.7,1,5.5,10,10.454545454545455,0.15151515151515152,0.015151515151515152,0.06489928137915628,0.23366614118059204,0.08787878787878788,0.03870967741935484,0.6291829548920125,0.3708170451079875,0.21613915453855234
DE Bollinger,122,152,396.5,523.9,14,41.0,47,7.475409836065574,0.38524590163934425,0.11475409836065574,0.12574003053207733,0.7234198806026721,0.6655737704918032,0.0903225806451613,0.31119043690849363,0.6888095630915063,0.5766593324487799
DJ Bravo,800,1156,2301.7,3638.6,45,132.7,213,8.67,0.26625,0.05625,0.8351267825892691,0.47407875722543347,0.32625,0.7152073732718894,0.4387008234217748,0.5612991765782251,0.535257816694853
DJ Hooda,101,169,262.2,447.0,6,16.3,22,10.03960396039604,0.21782178217821782,0.0594059405940594,0.07573444539598616,0.37260344531562983,0.3445544554455445,0.07096774193548386,0.5848921580172655,0.41510784198273454,0.32201971584512046
DJ Hussey,50,80,140.8,234.20000000000002,3,7.9,10,9.600000000000001,0.2,0.06,0.030532077298283507,0.3352601156069364,0.348,0.023963133640552997,0.5379688929551694,0.46203110704483064,0.3205754374613085
DJ Willey,25,39,65.6,109.7,1,1.5,4,9.36,0.16,0.04,0.002531928361321066,0.2514450867052023,0.23199999999999998,0.0009216589861751161,0.5123513266239705,0.48764867337602946,0.2802836660926605
DJG Sammy,78,125,210.8,356.5,6,14.5,20,9.615384615384617,0.2564102564102564,0.07692307692307693,0.05659604572364747,0.4534607973914332,0.4461538461538462,0.049769585253456226,0.5396110446430666,0.46038895535693336,0.37436866605126456
DL Chahar,111,176,319.0,544.2,5,12.2,29,9.513513513513514,0.26126126126126126,0.04504504504504504,0.09688349406113864,0.4636254751861688,0.26126126126126126,0.08018433179723503,0.5287373375205031,0.4712626624794969,0.35080733550245574
DL Vettori,150,191,414.5,580.1,4,9.6,38,7.640000000000001,0.25333333333333335,0.02666666666666667,0.1324421938414566,0.4470134874759153,0.15466666666666667,0.11612903225806454,0.3287587679170479,0.6712412320829522,0.40247825904129747
DP Nannes,63,83,188.9,266.0,3,9.4,18,7.904761904761905,0.2857142857142857,0.047619047619047616,0.04844174703056932,0.5148637489677952,0.27619047619047615,0.035944700460829496,0.35701941648876684,0.6429805835112332,0.4174358814581155
DR Sams,34,72,85.9,196.6,1,0.8,7,12.705882352941178,0.20588235294117646,0.029411764705882353,0.010090479204676622,0.347585855151309,0.17058823529411765,0.009216589861751154,0.8694903395942091,0.13050966040579093,0.16862319889532038
DR Smith,163,272,428.5,789.2,4,10.3,39,10.012269938650306,0.2392638036809816,0.024539877300613498,0.13765498752652944,0.4175325366147735,0.1423312883435583,0.12811059907834102,0.5819745283707249,0.41802547162927506,0.3057348655531383
DS Kulkarni,234,335,632.0,994.4,8,18.8,70,8.58974358974359,0.29914529914529914,0.03418803418803419,0.21342666716312325,0.5430067684402944,0.1982905982905983,0.1935483870967742,0.43013426544991035,0.5698657345500897,0.41556032428671436
DT Christian,229,311,588.1,867.1,8,20.8,69,8.148471615720524,0.30131004366812225,0.034934497816593885,0.19708083553635924,0.5475427215589267,0.20262008733624454,0.18894009216589863,0.3830329568472654,0.6169670431527345,0.4319502557306634
DW Steyn,310,435,1007.7,1533.8,12,35.9,101,8.419354838709678,0.3258064516129032,0.03870967741935484,0.35331570912611243,0.5988719000559388,0.22451612903225807,0.26359447004608294,0.4119469940678216,0.5880530059321785,0.46213077081391835
FH Edwards,28,52,105.7,211.1,1,4.0,5,11.142857142857142,0.17857142857142858,0.03571428571428571,0.017462858844993857,0.2903592072667217,0.20714285714285713,0.003686635944700461,0.7026532479414453,0.29734675205855465,0.2202046859447154
G Coetzee,29,54,88.7,155.4,1,4.3,9,11.172413793103448,0.3103448275862069,0.034482758620689655,0.011133037941691182,0.5664739884393063,0.19999999999999998,0.004608294930875577,0.7058081206423321,0.2941918793576679,0.286159788172267
GB Hogg,133,173,375.7,513.6,8,20.9,43,7.804511278195489,0.3233082706766917,0.06015037593984962,0.11799530848568344,0.5936372723716806,0.3488721804511278,0.10046082949308754,0.3463186786728944,0.6536813213271055,0.4688178304455097
GD McGrath,24,29,67.6,86.4,4,11.5,10,7.25,0.4166666666666667,0.16666666666666666,0.003276613173474323,0.7892581888246628,0.9666666666666666,0.0,0.2871302226288502,0.7128697773711499,0.6404799639367489
GJ Maxwell,203,311,484.8,788.9000000000001,11,22.6,52,9.192118226600986,0.2561576354679803,0.054187192118226604,0.15861786498864355,0.45293146160198183,0.3142857142857143,0.16497695852534563,0.49443164968293524,0.5055683503170647,0.3853984132200099
Gurkeerat Singh,25,19,60.300000000000004,46.7,3,5.1,9,4.5600000000000005,0.36,0.12,0.0005585136091149426,0.6705202312138727,0.696,0.0009216589861751161,0.0,1.0,0.6569780750629971
H Sharma,25,54,68.7,156.0,0,0.0,2,12.96,0.08,0.0,0.0036861898201586175,0.0838150289017341,0.0,0.0009216589861751161,0.8966148215919487,0.10338517840805128,0.05759935454888484
HF Gurney,35,60,113.3,202.3,1,4.6,6,10.285714285714285,0.17142857142857143,0.02857142857142857,0.020292661131176226,0.27539223781998345,0.1657142857142857,0.010138248847926266,0.6111619396157364,0.3888380603842636,0.2411273287302555
HH Pandya,249,351,654.5,1010.8000000000001,19,52.1,73,8.457831325301205,0.2931726907630522,0.07630522088353414,0.22180437129984737,0.5304919098358752,0.44257028112449803,0.20737327188940094,0.41605396884886287,0.5839460311511371,0.46843590890569126
HR Shokeen,36,58,89.4,157.8,0,0.0,10,9.666666666666668,0.2777777777777778,0.0,0.011393677625944822,0.49823378291586384,0.0,0.011059907834101386,0.5450848836027244,0.45491511639727555,0.286024095014017
HV Patel,541,746,1463.4,2131.2000000000003,29,74.9,162,8.273567467652494,0.29944547134935307,0.053604436229205174,0.5229921435752319,0.5436357419892514,0.31090573012939,0.47649769585253454,0.396385670533203,0.603614329466797,0.5093040807793464
Harbhajan Singh,764,926,1867.3,2400.3,49,119.8,246,7.272251308900524,0.3219895287958115,0.06413612565445026,0.6733812413895819,0.590874012650183,0.3719895287958115,0.6820276497695853,0.28950532421933,0.71049467578067,0.6063304345608593
Harmeet Singh,137,206,417.5,615.4,3,10.2,30,9.021897810218977,0.21897810218978103,0.021897810218978103,0.13355922105968648,0.3750263701953504,0.12700729927007298,0.10414746543778802,0.47626234631797554,0.5237376536820244,0.3262368998413082
Harpreet Brar,153,213,397.8,585.8000000000001,8,22.4,45,8.352941176470587,0.29411764705882354,0.05228758169934641,0.12622407565997695,0.532471948316899,0.3032679738562091,0.11889400921658988,0.40485800907737274,0.5951419909226272,0.42658308716104276
Harshit Rana,67,127,213.4,455.2,7,20.3,17,11.373134328358208,0.2537313432835821,0.1044776119402985,0.05756413597944671,0.4478474678629971,0.6059701492537313,0.03963133640552995,0.7272330024170091,0.27276699758299094,0.33834389320904
I Sharma,321,516,1021.3000000000001,1731.5,14,40.1,104,9.644859813084112,0.32398753894080995,0.04361370716510903,0.3583795658487546,0.5950605946014081,0.25295950155763236,0.27373271889400924,0.5427572231105333,0.4572427768894667,0.42260324934746823
I Udana,38,63,126.2,228.1,2,6.8999999999999995,6,9.947368421052632,0.15789473684210525,0.05263157894736842,0.025095878169564732,0.2470337693945847,0.3052631578947368,0.012903225806451611,0.5750469494871671,0.42495305051283294,0.2753445520046867
IC Pandey,46,70,115.30000000000001,194.8,3,6.9,15,9.130434782608695,0.32608695652173914,0.06521739130434782,0.02103734594332949,0.5994596632319679,0.3782608695652174,0.020276497695852533,0.4878475675245633,0.5121524324754367,0.4089018254513565
IK Pathan,286,466,867.6,1514.5,13,38.9,72,9.776223776223777,0.2517482517482518,0.045454545454545456,0.3011505380347768,0.44369214600428475,0.2636363636363636,0.24147465437788018,0.5567789941074479,0.4432210058925521,0.37304018053200283
IS Sodhi,47,51,122.5,146.5,2,7.0,17,6.51063829787234,0.3617021276595745,0.0425531914893617,0.023718211267081207,0.6740868281884147,0.24680851063829787,0.021198156682027652,0.20821085826633695,0.7917891417336631,0.4995012455764562
Imran Tahir,324,471,871.7,1357.4,14,37.4,88,8.722222222222221,0.2716049382716049,0.043209876543209874,0.302677141899691,0.48529936487547276,0.2506172839506173,0.2764976958525346,0.4442750160956929,0.555724983904307,0.42386952615072165
Iqbal Abdulla,210,295,567.0,842.8000000000001,13,30.5,55,8.428571428571427,0.2619047619047619,0.06190476190476191,0.1892244107681424,0.46497385081200115,0.35904761904761906,0.17142857142857143,0.41293077157669994,0.5870692284233001,0.42959251468035053
J Botha,167,208,443.8,569.2,14,34.5,61,7.473053892215569,0.3652694610778443,0.08383233532934131,0.14335182633950183,0.6815617320272749,0.4862275449101796,0.13179723502304147,0.3109389637924516,0.6890610362075484,0.5363222107977509
J Little,32,71,109.3,252.1,2,7.8999999999999995,8,13.3125,0.25,0.0625,0.01880329150686972,0.440028901734104,0.3625,0.007373271889400922,0.9342406221408965,0.06575937785910346,0.2081406640238393
